iter	RMSE
165	5.105156312
166	5.10039698
167	5.094895335
168	5.090301419
169	5.087342133
170	5.084017563
171	5.079239339
172	5.073498336
173	5.069965926
174	5.065798302
175	5.062859989
176	5.057381142
177	5.055249477
178	5.048102713
179	5.042864515
180	5.036641644
181	5.032807989
182	5.028164063
183	5.025257276
184	5.021741946
185	5.019046191
186	5.014707821
187	5.01265919
188	5.010665756
189	5.005928113
190	5.00347551
191	5.001214249
192	4.996968449
193	4.994472447
194	4.990859451
195	4.986606567
196	4.98477078
197	4.979975064
198	4.974982528
199	4.971461154
200	4.966461669
201	4.962029031
202	4.960192555
203	4.956289338
204	4.953220176
205	4.948004086
206	4.943685537
207	4.940956304
208	4.939770448
209	4.934078959
210	4.929315016
211	4.926634969
212	4.924244025
213	4.921786294
214	4.917657719
215	4.914096629
216	4.910460124
217	4.908293667
218	4.904948536
219	4.903379916
220	4.897636363
221	4.894671504
222	4.890884212
223	4.888315663
224	4.883551758
225	4.881837383
226	4.87815006
227	4.873985879
228	4.872975422
229	4.87132559
230	4.869112274
231	4.86702366
232	4.862850245
233	4.861570449
234	4.859799193
235	4.857921257
236	4.856268667
237	4.855041337
238	4.85325227
239	4.849219894
240	4.846094362
241	4.84433189
242	4.840567198
243	4.838929988
244	4.833511143
245	4.829537103
246	4.825199432
247	4.822470296
248	4.817339741
249	4.814308509
250	4.810615146
251	4.807418309
252	4.803428785
253	4.799995795
254	4.796485757
255	4.793739691
256	4.791233477
257	4.787161043
258	4.782763721
259	4.780903161
260	4.779637783
261	4.778170317
262	4.777259616
263	4.774168045
264	4.772480087
265	4.767836516
266	4.76585159
267	4.761409039
268	4.758991652
269	4.755070029
270	4.752206882
271	4.746809356
272	4.744746549
273	4.741918019
274	4.740299695
275	4.738345016
276	4.736333632
277	4.732912568
278	4.730057819
279	4.726098824
280	4.723040075
281	4.721859889
282	4.718359412
283	4.717191381
284	4.714288921
285	4.710589945
286	4.709947269
287	4.706756192
288	4.702769444
289	4.701493869
290	4.699854596
291	4.697927218
292	4.693662649
293	4.690319729
294	4.688712088
295	4.685472955
296	4.681830606
297	4.678511991
298	4.675085612
299	4.673549443
300	4.669890667
301	4.668373682
302	4.66470072
303	4.661906877
304	4.659429303
305	4.657867745
306	4.653392212
307	4.651950411
308	4.650081514
309	4.645987133
310	4.644615573
311	4.643541693
312	4.640042978
313	4.636935997
314	4.63408746
315	4.632245447
316	4.631744661
317	4.62910502
318	4.626539888
319	4.624988903
320	4.622017393
321	4.618904507
322	4.616845388
323	4.614423059
324	4.613763041
325	4.611381815
326	4.61091783
327	4.605482617
328	4.604130665
329	4.601248411
330	4.599585244
331	4.598131751
332	4.596200864
333	4.59425813
334	4.59168028
335	4.588271599
336	4.58526505
337	4.582755667
338	4.579566733
339	4.578953695
340	4.57859965
341	4.573428375
342	4.56981824
343	4.566920622
344	4.562702208
345	4.560924089
346	4.559298838
347	4.555004484
348	4.55325533
349	4.552836444
350	4.54956588
351	4.547926172
352	4.545041744
353	4.543662237
354	4.542075063
355	4.540158694
356	4.537388534
357	4.533833409
358	4.532251693
359	4.529314227
360	4.526524336
361	4.525170762
362	4.522066776
363	4.519808782
364	4.51775881
365	4.514850974
366	4.511814777
367	4.507411757
368	4.507075282
369	4.504017174
370	4.502539663
371	4.49732279
372	4.491919683
373	4.488500024
374	4.485870032
375	4.482893959
376	4.480771322
377	4.478984842
378	4.47635458
379	4.471783523
380	4.468040045
381	4.464605759
382	4.463602178
383	4.46179901
384	4.459434296
385	4.457590228
386	4.452967718
387	4.45115776
388	4.450702218
389	4.449392207
390	4.443663059
391	4.441609542
392	4.439954747
393	4.438315147
394	4.437754359
395	4.43620372
396	4.434092101
397	4.432058286
398	4.429011572
399	4.426802909
400	4.42304037
401	4.419250307
402	4.41895199
403	4.416750454
404	4.411315275
405	4.409526225
406	4.405770984
407	4.401042992
408	4.399434504
409	4.397590974
410	4.395600857
411	4.393834685
412	4.392621626
413	4.390293085
414	4.386440134
415	4.384277654
416	4.382684884
417	4.380613045
418	4.378557138
419	4.374026574
420	4.372878705
421	4.370208906
422	4.364715827
423	4.363439405
424	4.361087839
425	4.355371345
426	4.354578237
427	4.354401543
428	4.351603398
429	4.349544891
430	4.3466874
431	4.344774481
432	4.342852208
433	4.340917683
434	4.337408191
435	4.332897517
436	4.331693504
437	4.328859562
438	4.327082766
439	4.325130734
440	4.323985091
441	4.322199085
442	4.321835897
443	4.319700804
444	4.318257397
445	4.315936846
446	4.314197718
447	4.312897449
448	4.309442499
449	4.305990036
450	4.303955253
451	4.303487736
452	4.299776052
453	4.297587466
454	4.295061728
455	4.294877677
456	4.293588604
457	4.292322424
458	4.292051931
459	4.290360721
460	4.289239856
461	4.286140949
462	4.28344911
463	4.280524488
464	4.277223349
465	4.273504884
466	4.268943046
467	4.266419534
468	4.264748088
469	4.262528534
470	4.262095317
471	4.258657682
472	4.256443106
473	4.253947845
474	4.249327542
475	4.247540016
476	4.246340887
477	4.244403588
478	4.243118566
479	4.241446415
480	4.23888162
481	4.235866395
482	4.233937006
483	4.231140698
484	4.228959132
485	4.227608231
486	4.226072226
487	4.224333285
488	4.223219614
489	4.221833063
490	4.217669454
491	4.213287745
492	4.210970602
493	4.206955325
494	4.204684692
495	4.204277992
496	4.200305888
497	4.198721112
498	4.196527266
499	4.195312974
500	4.194571041
501	4.190026882
502	4.187841786
503	4.185340243
504	4.182162897
505	4.178925338
506	4.177476687
507	4.176233946
508	4.172630872
509	4.171066185
510	4.168483814
511	4.167180831
512	4.165535872
513	4.164285455
514	4.162464748
515	4.160716908
516	4.157864315
517	4.15536141
518	4.152772915
519	4.149220353
520	4.147565486
521	4.146625939
522	4.142808326
523	4.142192786
524	4.140899183
525	4.13894427
526	4.136095529
527	4.133889307
528	4.131686511
529	4.129196762
530	4.127525615
531	4.126088951
532	4.124766674
533	4.122407825
534	4.122028788
535	4.118684505
536	4.117936842
537	4.112625404
538	4.10867133
539	4.108443859
540	4.107036164
541	4.105742713
542	4.104759218
543	4.102402353
544	4.100965079
545	4.100731205
546	4.09945863
547	4.098213851
548	4.09334168
549	4.090922164
550	4.087745421
551	4.084444705
552	4.083276616
553	4.081239436
554	4.079790732
555	4.076892294
556	4.073982127
557	4.072101012
558	4.071041629
559	4.070145544
560	4.069170084
561	4.066425356
562	4.065025186
563	4.064866127
564	4.06287044
565	4.060924206
566	4.060122659
567	4.058046637
568	4.056161385
569	4.053127083
570	4.051731166
571	4.050255162
572	4.048171633
573	4.047529509
574	4.04466259
575	4.043604241
576	4.043115322
577	4.042145954
578	4.038993587
579	4.038053983
580	4.035289595
581	4.031457647
582	4.031342388
583	4.027959421
584	4.027064246
585	4.026758544
586	4.02486659
587	4.02409962
588	4.022621791
589	4.0192088
590	4.015196734
591	4.013796046
592	4.011497442
593	4.008605963
594	4.007837715
595	4.006572926
596	4.006380423
597	4.005201157
598	4.002598843
599	4.002335438
600	4.001245544
601	4.000862101
602	4.000363311
603	3.998430447
604	3.994841383
605	3.992529771
606	3.99202753
607	3.990032177
608	3.987210246
609	3.984514946
610	3.983150465
611	3.981183821
612	3.978247943
613	3.976957957
614	3.974359705
615	3.972413436
616	3.968515627
617	3.965851513
618	3.962777775
619	3.9614414
620	3.958225309
621	3.954763626
622	3.952875208
623	3.951574043
624	3.949001882
625	3.948826443
626	3.944938634
627	3.944350615
628	3.942962405
629	3.941855118
630	3.940017885
631	3.937966867
632	3.935292655
633	3.934723704
634	3.933481406
635	3.930242475
636	3.929591667
637	3.927605823
638	3.926127375
639	3.923724178
640	3.921061965
641	3.918275537
642	3.916947444
643	3.915506889
644	3.913723098
645	3.911537862
646	3.908887597
647	3.9071722
648	3.9047441
649	3.903807693
650	3.902572325
651	3.902209861
652	3.900868677
653	3.899475612
654	3.897038037
655	3.895512337
656	3.89324486
657	3.890927592
658	3.888984857
659	3.888692349
660	3.886450869
661	3.882303816
662	3.879858934
663	3.877709132
664	3.872834213
665	3.871930164
666	3.869240987
667	3.868312019
668	3.866978582
669	3.865438297
670	3.863490309
671	3.862849616
672	3.86089068
673	3.857504106
674	3.855331436
675	3.854179677
676	3.851795215
677	3.849887496
678	3.847591791
679	3.844530574
680	3.840112071
681	3.83909118
682	3.836415006
683	3.836311689
684	3.834623397
685	3.8331739
686	3.830222929
687	3.82821808
688	3.826864867
689	3.826217286
690	3.825476903
691	3.825052539
692	3.824270394
693	3.820923703
694	3.818290683
695	3.816496147
696	3.814422887
697	3.810827983
698	3.808321717
699	3.807651364
700	3.806285767
701	3.803710942
702	3.801360563
703	3.797752887
704	3.794854992
705	3.793962768
706	3.791345299
707	3.791222977
708	3.790287932
709	3.790155692
710	3.788814337
711	3.787918964
712	3.785344983
713	3.782727147
714	3.781428192
715	3.777996523
716	3.774242116
717	3.774053462
718	3.772090397
719	3.770048338
720	3.765396368
721	3.763643891
722	3.760347448
723	3.759398299
724	3.758565107
725	3.75757726
726	3.754181071
727	3.752503603
728	3.750944451
729	3.749123205
730	3.748457429
731	3.747280531
732	3.745629027
733	3.743757649
734	3.741916073
735	3.741498916
736	3.740715254
737	3.739479923
738	3.736772572
739	3.735534442
740	3.733271218
741	3.730056213
742	3.728109279
743	3.727732471
744	3.725860732
745	3.724578596
746	3.724363594
747	3.723684565
748	3.720657869
749	3.720357806
750	3.718358642
751	3.718026303
752	3.717116107
753	3.714727099
754	3.71130396
755	3.710960562
756	3.709207018
757	3.708449872
758	3.706664077
759	3.705892874
760	3.703312775
761	3.700418938
762	3.7001733
763	3.698007965
764	3.697198693
765	3.695823371
766	3.693997628
767	3.692867081
768	3.692330411
769	3.690420878
770	3.687308768
771	3.683511607
772	3.681407902
773	3.680298441
774	3.678491308
775	3.678249269
776	3.675054325
777	3.674289012
778	3.672031756
779	3.671108224
780	3.670400382
781	3.667087898
782	3.664366357
783	3.662377084
784	3.660794585
785	3.657287808
786	3.656970422
787	3.655754775
788	3.654588406
789	3.650608144
790	3.648819624
791	3.64788364
792	3.647024622
793	3.646335508
794	3.64468203
795	3.643879424
796	3.643388077
797	3.643086182
798	3.642507489
799	3.642066028
800	3.641378741
801	3.640499065
802	3.639050891
803	3.638699598
804	3.637408313
805	3.635499861
806	3.634636315
807	3.630999892
808	3.629079193
809	3.626822166
810	3.623181536
811	3.621035154
812	3.61826119
813	3.616650214
814	3.614242477
815	3.612354394
816	3.611661187
817	3.611338513
818	3.60975958
819	3.608658974
820	3.608011962
821	3.606702643
822	3.605335404
823	3.604843987
824	3.603613688
825	3.601849904
826	3.599567997
827	3.598635362
828	3.595563595
829	3.593920707
830	3.592056513
831	3.591251802
832	3.590779173
833	3.587815638
834	3.587124533
835	3.584237146
836	3.583340837
837	3.582484719
838	3.582078426
839	3.580952226
840	3.580738675
841	3.579474461
842	3.578662173
843	3.576771078
844	3.575536594
845	3.574249088
846	3.572726734
847	3.570137145
848	3.5687851
849	3.56816451
850	3.567645756
851	3.566201528
852	3.564284651
853	3.561418114
854	3.559803091
855	3.558175549
856	3.556039445
857	3.554906706
858	3.553676351
859	3.551987009
860	3.550654849
861	3.550208449
862	3.549053547
863	3.548811059
864	3.546750612
865	3.54602406
866	3.543347814
867	3.540973705
868	3.539548693
869	3.536880654
870	3.535589103
871	3.53395793
872	3.532182365
873	3.530867098
874	3.529734184
875	3.52681698
876	3.524716727
877	3.523893091
878	3.52107516
879	3.518364435
880	3.5161512
881	3.516011213
882	3.515004067
883	3.514811494
884	3.51380077
885	3.512873492
886	3.511389845
887	3.508559448
888	3.505554725
889	3.505138088
890	3.503645484
891	3.502779285
892	3.502078733
893	3.500151386
894	3.499501474
895	3.497584259
896	3.496063368
897	3.494815162
898	3.492902868
899	3.491007279
900	3.490091276
901	3.48973885
902	3.489385471
903	3.488328114
904	3.487727006
905	3.485665415
906	3.484822485
907	3.482954553
908	3.481245739
909	3.480119711
910	3.479139391
911	3.478684563
912	3.478514071
913	3.477592179
914	3.476809619
915	3.475074646
916	3.47415143
917	3.471236555
918	3.468918125
919	3.468683145
920	3.467918845
921	3.466209591
922	3.465240546
923	3.463176767
924	3.462691456
925	3.46187434
926	3.461323633
927	3.45920988
928	3.456680498
929	3.456154825
930	3.454360789
931	3.453375344
932	3.452364884
933	3.451274318
934	3.449731025
935	3.448070423
936	3.447712441
937	3.447172056
938	3.446372157
939	3.445062936
940	3.443628849
941	3.442089835
942	3.441113387
943	3.440135699
944	3.439697066
945	3.438456573
946	3.437392885
947	3.436338481
948	3.434153996
949	3.433376299
950	3.432317882
951	3.431763811
952	3.429076928
953	3.42780505
954	3.424539121
955	3.424001723
956	3.423084008
957	3.420690791
958	3.419975475
959	3.419101008
960	3.416941501
961	3.416564207
962	3.412940939
963	3.412514912
964	3.412150021
965	3.41164256
966	3.409390137
967	3.408623953
968	3.407538986
969	3.406700019
970	3.404626191
971	3.403714785
972	3.403521092
973	3.402701393
974	3.401067328
975	3.399757366
976	3.399117636
977	3.397007984
978	3.396483534
979	3.394741305
980	3.394087047
981	3.393056566
982	3.390868308
983	3.390260791
984	3.389058905
985	3.388172067
986	3.38737187
987	3.38651405
988	3.385641397
989	3.383488078
990	3.38220701
991	3.381460999
992	3.380189074
993	3.37931257
994	3.376074468
995	3.374458277
996	3.373622594
997	3.372730859
998	3.371620818
999	3.370742742
